State,Transaction amount
Andaman & Nicobar,97988040.5
Andhra Pradesh,23687132544.0
Arunachal Pradesh,553083476.0
Assam,4962987408.0
Bihar,27438578400.0
Chandigarh,2777251232.0
Chhattisgarh,8332615744.0
Dadra and Nagar Haveli and Daman and Diu,961471479.6875
Delhi,60172287104.0
Goa,993892152.0
Gujarat,21861697168.0
Haryana,14722058752.0
Himachal Pradesh,2672131310.0
Jammu & Kashmir,1915530576.0
Jharkhand,7342791768.0
Karnataka,80386235648.0
Kerala,4558597720.0
Ladakh,318567613.0
Lakshadweep,9651761.485351562
Madhya Pradesh,27159939712.0
Maharashtra,68612167680.0
Manipur,466044046.0
Meghalaya,370970963.0
Mizoram,193558310.5
Nagaland,422991086.0
Odisha,21522918336.0
Puducherry,1095958996.0
Punjab,10004554320.0
Rajasthan,43677649664.0
Sikkim,773613110.0
Tamil Nadu,26856485728.0
Telangana,86688457344.0
Tripura,380911319.25
Uttar Pradesh,32680041920.0
Uttarakhand,4499850176.0
West Bengal,22633053120.0
